Indicador,CodDepto,Departamento,Factor,UnidadMedida,Fecha,Numerador,Denominador,Textbox11
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2018-06,23372.00,353.00,66.21
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2018-12,9501.00,123.00,77.24
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2019-06,5315.00,348.00,15.27
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2020-06,283.00,22.00,12.86
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2020-12,553.00,17.00,32.53
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2021-09,8216.00,534.00,15.39
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2021-12,11587.00,723.00,16.03
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2022-03,8145.00,525.00,15.51
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2022-06,2351.00,148.00,15.89
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2022-09,7487.00,391.00,19.15
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,91,Amazonas,1,Minutos,2022-12,7536.00,470.00,16.03
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2017-06,2893.00,820.00,3.53
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2017-12,4171.00,327.00,12.76
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2018-06,6536.00,526.00,12.43
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2018-12,4294.00,254.00,16.91
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2019-06,4189.00,401.00,10.45
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2019-12,8287.00,547.00,15.15
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2020-03,373.00,11.00,33.91
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2020-06,473.00,626.00,0.76
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2020-09,219.00,342.00,0.64
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2020-12,165.00,218.00,0.76
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2021-03,1741.00,194.00,8.97
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2021-09,2391.00,240.00,9.96
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2021-12,752.00,302.00,2.49
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2022-03,1636.00,352.00,4.65
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2022-06,3650.00,827.00,4.41
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2022-09,4114.00,417.00,9.87
Tiempo promedio de espera para la asignación de cita de  Medicina Interna,91,Amazonas,1,Días,2022-12,4803.00,393.00,12.22
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2017-06,913.00,1023.00,89.25
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2017-12,1024.00,1101.00,93.01
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2018-06,814.00,961.00,84.70
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2018-12,809.00,873.00,92.67
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2019-06,1304.00,1748.00,74.60
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2019-12,617.00,636.00,97.01
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2020-03,167.00,173.00,96.53
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2020-06,338.00,418.00,80.86
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2020-09,398.00,462.00,86.15
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2020-12,498.00,508.00,98.03
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2021-03,397.00,414.00,95.89
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2021-06,282.00,290.00,97.24
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2021-09,562.00,593.00,94.77
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2021-12,757.00,790.00,95.82
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2022-03,1123.00,1123.00,100.00
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2022-06,1402.00,1467.00,95.57
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2022-09,1794.00,1934.00,92.76
Proporción de Satisfacción Global de los usuarios en la IPS,91,Amazonas,100,Porcentaje,2022-12,1418.00,1487.00,95.36
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2017-06,14081.00,4105.00,3.43
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2017-12,11743.00,3015.00,3.89
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2018-06,8012.00,4090.00,1.96
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2018-12,5017.00,2321.00,2.16
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2019-06,8416.00,4182.00,2.01
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2019-12,1124.00,2145.00,0.52
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2020-03,185.00,118.00,1.57
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2020-06,36.00,1956.00,0.02
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2020-09,44.00,543.00,0.08
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2020-12,169.00,779.00,0.22
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2021-03,158.00,865.00,0.18
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2021-06,88.00,403.00,0.22
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2021-09,5817.00,1603.00,3.63
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2021-12,200.00,1123.00,0.18
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2022-03,367.00,1371.00,0.27
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2022-06,6683.00,1955.00,3.42
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2022-09,9470.00,2385.00,3.97
Tiempo promedio de espera para la asignación de cita de  Odontología General,91,Amazonas,1,Días,2022-12,10190.00,1806.00,5.64
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2017-06,6874.00,742.00,9.26
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2017-12,71.00,48.00,1.48
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2018-06,2257.00,289.00,7.81
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2018-12,1759.00,400.00,4.40
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2019-06,3601.00,615.00,5.86
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2019-12,1459.00,430.00,3.39
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2020-06,2337.00,272.00,8.59
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2020-09,44.00,52.00,0.85
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2020-12,178.00,163.00,1.09
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2021-03,312.00,138.00,2.26
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2021-09,1842.00,260.00,7.08
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2021-12,1036.00,245.00,4.23
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2022-03,875.00,296.00,2.96
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2022-06,3903.00,775.00,5.04
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2022-09,3230.00,462.00,6.99
Tiempo promedio de espera para la asignación de cita de  Pediatría ,91,Amazonas,1,Días,2022-12,2413.00,466.00,5.18
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2017-06,3163.00,484.00,6.54
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2017-12,651.00,229.00,2.84
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2018-06,3104.00,577.00,5.38
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2018-12,3780.00,491.00,7.70
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2019-06,7105.00,653.00,10.88
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2019-12,4825.00,464.00,10.40
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2020-03,10.00,2.00,5.00
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2020-06,3193.00,3827.00,0.83
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2020-09,451.00,929.00,0.49
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2020-12,1105.00,705.00,1.57
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2021-12,1487.00,207.00,7.18
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2022-03,1149.00,260.00,4.42
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2022-06,1823.00,321.00,5.68
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2022-09,1313.00,206.00,6.37
Tiempo promedio de espera para la asignación de cita de  Obstetricia,91,Amazonas,1,Días,2022-12,1542.00,215.00,7.17
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2017-06,1437.00,405.00,3.55
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2017-12,631.00,257.00,2.46
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2018-06,1066.00,343.00,3.11
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2018-12,951.00,336.00,2.83
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2019-06,2787.00,425.00,6.56
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2019-12,2825.00,323.00,8.75
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2020-06,1325.00,182.00,7.28
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2020-09,125.00,43.00,2.91
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2020-12,1097.00,178.00,6.16
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2021-03,354.00,110.00,3.22
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2021-09,1119.00,167.00,6.70
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2021-12,620.00,170.00,3.65
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2022-03,544.00,159.00,3.42
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2022-06,1018.00,182.00,5.59
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2022-09,2927.00,155.00,18.88
Tiempo promedio de espera para la asignación de cita de  Cirugía General,91,Amazonas,1,Días,2022-12,2368.00,124.00,19.10
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2017-06,6465.00,927.00,6.97
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2017-12,6950.00,720.00,9.65
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2018-06,1716.00,301.00,5.70
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2018-12,2825.00,333.00,8.48
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2019-06,5475.00,659.00,8.31
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2019-12,11597.00,1222.00,9.49
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2020-03,149.00,22.00,6.77
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2020-06,3771.00,562.00,6.71
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2020-09,350.00,81.00,4.32
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2020-12,3907.00,509.00,7.68
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2021-03,896.00,160.00,5.60
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2021-06,0.00,42.00,0.00
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2021-09,926.00,170.00,5.45
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2021-12,357.00,214.00,1.67
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2022-03,279.00,188.00,1.48
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2022-06,2690.00,447.00,6.02
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2022-09,2885.00,320.00,9.02
Tiempo promedio de espera para la toma de Ecografía,91,Amazonas,1,Días,2022-12,1817.00,177.00,10.27
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2017-06,976.00,988.00,98.79
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2017-12,1116.00,1161.00,96.12
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2018-06,843.00,901.00,93.56
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2018-12,853.00,866.00,98.50
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2019-06,1564.00,1711.00,91.41
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2019-12,605.00,619.00,97.74
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2020-03,179.00,179.00,100.00
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2020-06,390.00,414.00,94.20
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2020-09,422.00,462.00,91.34
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2020-12,160.00,161.00,99.38
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2021-03,402.00,411.00,97.81
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2021-06,289.00,290.00,99.66
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2021-09,381.00,383.00,99.48
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2021-12,784.00,792.00,98.99
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2022-03,1123.00,1123.00,100.00
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2022-06,1428.00,1467.00,97.34
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2022-09,1880.00,1934.00,97.21
Proporción de usuarios que recomendaría su IPS a familiares y amigos,91,Amazonas,100,Porcentaje,2022-12,1494.00,1510.00,98.94
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2017-06,5437899.00,1702301.00,3.19
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2017-12,7406355.00,2005654.00,3.69
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2018-06,6630597.00,1978757.00,3.35
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2018-12,7440095.00,1857046.00,4.01
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2019-06,6539343.00,2094834.00,3.12
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2019-12,5711019.00,1744141.00,3.27
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2020-03,3613864.00,1170056.00,3.09
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2020-06,885424.00,546357.00,1.62
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2020-09,1627447.00,673085.00,2.42
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2020-12,2793519.00,972280.00,2.87
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2021-03,4544448.00,1410227.00,3.22
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2021-06,3649260.00,1272936.00,2.87
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2021-09,3985530.00,1160731.00,3.43
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2021-12,2988559.00,1026083.00,2.91
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2022-03,4462844.00,1441561.00,3.10
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2022-06,4375537.00,1561478.00,2.80
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2022-09,4462518.00,1251143.00,3.57
Tiempo promedio de espera para la asignación de cita de  Medicina General,5,Antioquia,1,Días,2022-12,5511845.00,1335650.00,4.13
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2017-06,524624.00,41505.00,12.64
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2017-12,270451.00,34479.00,7.84
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2018-06,542430.00,43337.00,12.52
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2018-12,755191.00,63805.00,11.84
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2019-06,484877.00,60126.00,8.06
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2019-12,670712.00,62857.00,10.67
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2020-03,292726.00,25853.00,11.32
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2020-06,271695.00,27561.00,9.86
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2020-09,277898.00,27538.00,10.09
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2020-12,338878.00,31871.00,10.63
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2021-03,375762.00,28342.00,13.26
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2021-06,457812.00,37074.00,12.35
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2021-09,444068.00,25251.00,17.59
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2021-12,475710.00,27271.00,17.44
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2022-03,620385.00,40635.00,15.27
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2022-06,791288.00,41161.00,19.22
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2022-09,1130787.00,43651.00,25.91
Tiempo promedio de espera para la toma de Resonancia Magnética Nuclear,5,Antioquia,1,Días,2022-12,1037082.00,43493.00,23.84
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2017-06,11190.00,486.00,23.02
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2017-12,6691.00,422.00,15.86
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2018-06,7172.00,371.00,19.33
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2018-12,14326.00,568.00,25.22
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2019-06,9988.00,426.00,23.45
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2019-12,15075.00,523.00,28.82
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2020-03,6897.00,313.00,22.04
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2020-06,5824.00,123.00,47.35
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2020-09,2389.00,153.00,15.61
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2020-12,3510.00,176.00,19.94
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2021-03,2722.00,242.00,11.25
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2021-06,1077.00,110.00,9.79
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2021-09,4268.00,236.00,18.08
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2021-12,2075639.00,346.00,5998.96
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2022-03,5074.00,330.00,15.38
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2022-06,6736.00,352.00,19.14
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2022-09,9163.00,378.00,24.24
Tiempo promedio de espera para la realización de Cirugía de Reemplazo de cadera,5,Antioquia,1,Días,2022-12,6695.00,355.00,18.86
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2017-06,14245094.00,332107.00,42.89
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2017-12,9703319.00,245650.00,39.50
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2018-06,14052153.00,245429.00,57.26
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2018-12,13655299.00,229159.00,59.59
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2019-06,5276495.00,206658.00,25.53
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2019-12,4669635.00,192372.00,24.27
Tiempo promedio de espera para la atención del paciente clasificado como Triage 2 en el servicio de urgencias,5,Antioquia,1,Minutos,2020-03,2533443.00,87815.00,28.85
